threshold,precision,recall
0.0846636222793239,0.15806988352745424,0.945273631840796
0.08466633089132031,0.1582014987510408,0.945273631840796
0.08498575270272873,0.15833333333333333,0.945273631840796
0.08507921361827844,0.15846538782318598,0.945273631840796
0.0851379446350494,0.15859766277128548,0.945273631840796
0.08514682304191297,0.15873015873015872,0.945273631840796
0.08521231237110037,0.15802675585284282,0.9402985074626866
0.08533494084646161,0.1581589958158996,0.9402985074626866
0.08543262021463373,0.1574539363484087,0.9353233830845771
0.0854876145966123,0.15758591785414922,0.9353233830845771
0.08601595232632864,0.15771812080536912,0.9353233830845771
0.08650981270256392,0.15785054575986565,0.9353233830845771
0.08694791681307865,0.15798319327731092,0.9353233830845771
0.0871261553898795,0.1581160639192599,0.9353233830845771
0.08722819168861567,0.15824915824915825,0.9353233830845771
0.08738060384960765,0.15838247683235046,0.9353233830845771
0.08904608617258815,0.15851602023608768,0.9353233830845771
0.08908444897945553,0.15864978902953586,0.9353233830845771
0.08917610369299188,0.15878378378378377,0.9353233830845771
0.089304510142496,0.15891800507185122,0.9353233830845771
0.08955272974002113,0.15905245346869712,0.9353233830845771
0.08988996029306294,0.15918712955122777,0.9353233830845771
0.09006358697018088,0.15932203389830507,0.9353233830845771
0.09065863306708141,0.1594571670907549,0.9353233830845771
0.09093857426651515,0.15959252971137522,0.9353233830845771
0.0911991408337091,0.15972812234494477,0.9353233830845771
0.09128780267381968,0.1598639455782313,0.9353233830845771
0.09131746229747145,0.16,0.9353233830845771
0.09208139841011485,0.16013628620102216,0.9353233830845771
0.09234816750312164,0.16027280477408354,0.9353233830845771
0.09279615005002204,0.16040955631399317,0.9353233830845771
0.09300785255997823,0.1605465414175918,0.9353233830845771
0.09320104235691834,0.1606837606837607,0.9353233830845771
0.0932158762652605,0.16082121471343028,0.9353233830845771
0.0932643470137471,0.16095890410958905,0.9353233830845771
0.09333529422322845,0.1610968294772922,0.9353233830845771
0.09359791590723622,0.16123499142367068,0.9353233830845771
0.09367571352341254,0.16137339055793992,0.9353233830845771
0.09421459474759672,0.16151202749140894,0.9353233830845771
0.09430872741907834,0.16165090283748926,0.9353233830845771
0.09478663209237399,0.16179001721170397,0.9353233830845771
